City_ID,City,Country,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed,Current Description
90,Clyde River,CA,70.4692,-68.5914,26.83,100,90,12.66,light snow
91,Ducheng,CN,23.2373,111.5317,74.52,88,5,2.59,clear sky
92,Kruisfontein,ZA,-34.0033,24.7314,58.37,81,100,4.76,overcast clouds
93,East London,ZA,-33.0153,27.9116,64.98,88,100,12.77,moderate rain
94,Novoagansk,RU,61.9449,76.6625,28.11,97,98,10.29,light snow
95,Kambove,CD,-10.8764,26.5969,64.54,57,73,2.77,broken clouds
96,Usinsk,RU,65.9939,57.5281,34.56,100,100,18.86,overcast clouds
97,Dikson,RU,73.5069,80.5464,19.63,90,100,16.93,overcast clouds
98,Paka,MY,4.6374,103.4368,73.33,100,20,0.0,few clouds
99,Tasiilaq,GL,65.6145,-37.6368,15.8,88,100,8.43,overcast clouds
100,Onalaska,US,43.8844,-91.2351,53.46,56,1,4.0,clear sky
101,Verkh-Usugli,RU,52.7,115.1667,6.31,64,2,3.56,clear sky
102,Porto Santo,PT,33.072,-16.3415,66.58,63,75,13.8,broken clouds
103,Guozhen,CN,34.3659,107.359,42.96,60,100,10.54,overcast clouds
104,High Level,CA,58.5169,-117.136,33.91,100,90,4.61,light rain
105,Upernavik,GL,72.7868,-56.1549,13.51,66,26,6.46,scattered clouds
106,Maymyo,MM,22.0333,96.4667,60.62,96,46,1.19,scattered clouds
107,Tabriz,IR,38.08,46.2919,45.86,71,20,9.22,few clouds
108,Winnemucca,US,40.973,-117.7357,55.45,44,1,9.22,clear sky
109,Bakchar,RU,57.0186,82.0711,28.0,92,100,9.91,overcast clouds
110,Tuatapere,NZ,-46.1333,167.6833,62.82,48,99,4.29,overcast clouds
111,Kavaratti,IN,10.5669,72.642,82.36,76,63,13.78,broken clouds
112,Lorengau,PG,-2.0226,147.2712,85.15,66,85,9.78,overcast clouds
113,Avarua,CK,-21.2078,-159.775,78.85,61,75,11.5,broken clouds
114,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,0,13.8,clear sky
115,Rabo De Peixe,PT,37.8,-25.5833,69.28,89,75,21.85,broken clouds
116,Cabo San Lucas,MX,22.8909,-109.9124,85.6,63,16,1.99,few clouds
117,Saldanha,ZA,-33.0117,17.9442,51.85,75,3,13.4,clear sky
118,Asau,RO,46.4333,26.4,55.76,91,66,3.04,broken clouds
119,Komsomolskiy,UZ,40.4272,71.7189,32.72,64,75,2.3,haze
120,Deputatskiy,RU,69.3,139.9,5.86,91,99,4.14,overcast clouds
121,Saskylakh,RU,71.9167,114.0833,-0.53,90,96,19.08,overcast clouds
122,Port Lincoln,AU,-34.7333,135.8667,64.18,76,67,12.86,broken clouds
123,Ponta Do Sol,PT,32.6667,-17.1,66.83,70,19,8.72,few clouds
124,Matara,LK,5.9485,80.5353,76.32,90,93,8.32,overcast clouds
125,Chapleau,CA,47.8405,-83.4034,41.09,70,75,6.91,broken clouds
126,Ngunguru,NZ,-35.6167,174.5,72.16,86,73,12.21,broken clouds
127,Tilichiki,RU,60.4667,166.1,8.2,93,64,4.7,broken clouds
128,Dehui,CN,44.5333,125.7,34.11,42,73,16.28,broken clouds
129,Boguchany,RU,58.3814,97.4531,19.67,85,100,11.7,overcast clouds
130,Itarema,BR,-2.9248,-39.9167,80.71,79,100,11.92,overcast clouds
131,Hofn,IS,64.2539,-15.2082,38.37,71,97,13.65,overcast clouds
132,Egvekinot,RU,66.3167,-179.1667,-5.24,81,1,5.73,clear sky
133,Mayumba,GA,-3.432,10.6554,77.02,86,100,2.42,overcast clouds
134,Abalak,RU,58.1286,68.5944,32.22,91,100,9.73,overcast clouds
135,Barrow,US,71.2906,-156.7887,19.42,86,90,27.63,mist
136,Katsuura,JP,35.1333,140.3,64.11,62,7,12.57,clear sky
137,Labuhan,ID,-6.8844,112.2051,82.42,76,100,6.55,overcast clouds
138,Srednekolymsk,RU,67.45,153.6833,-2.51,92,59,3.33,broken clouds
139,Caravelas,BR,-17.7125,-39.2481,75.49,84,73,8.9,broken clouds
140,Yellowknife,CA,62.456,-114.3525,29.41,99,75,6.91,broken clouds
141,Ambilobe,MG,-13.2,49.05,72.07,84,40,2.64,scattered clouds
142,La Sarre,CA,48.8002,-79.1996,37.87,83,100,11.32,overcast clouds
143,Vao,NC,-22.6667,167.4833,69.12,62,99,10.02,overcast clouds
144,Megion,RU,61.0296,76.1136,32.02,94,97,14.25,overcast clouds
145,Poum,NC,-20.2333,164.0167,72.82,72,58,10.63,broken clouds
146,Dingle,PH,10.9995,122.6711,81.48,84,80,5.26,broken clouds
147,Hithadhoo,MV,-0.6,73.0833,81.28,75,100,14.43,overcast clouds
148,Sciacca,IT,37.5082,13.0881,68.47,73,100,5.7,overcast clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,54.88,74,0,8.99,clear sky
150,Pisticci,IT,40.3906,16.5568,64.8,91,100,6.46,overcast clouds
151,Kukuna,SL,9.4,-12.6667,76.05,91,33,3.29,scattered clouds
152,Pirogovo,RU,56.7796,53.1495,36.64,78,100,17.74,light rain
153,Lagos,NG,6.5833,3.75,79.12,93,100,4.21,light rain
154,Perg,AT,48.25,14.6333,45.3,84,100,2.51,overcast clouds
155,Syracuse,IT,37.0881,15.2792,69.39,91,100,8.37,overcast clouds
156,Chuy,UY,-33.6971,-53.4616,59.68,68,100,15.1,overcast clouds
157,Kharovsk,RU,59.9642,40.1912,47.32,79,100,14.18,overcast clouds
158,Jardim De Piranhas,BR,-6.3786,-37.3519,83.14,60,99,16.64,overcast clouds
159,Dwarka,IN,22.2394,68.9678,78.57,51,87,12.62,overcast clouds
160,Iqaluit,CA,63.7506,-68.5145,15.53,86,75,5.75,broken clouds
161,Mandalgovi,MN,45.7625,106.2708,5.67,49,84,6.38,broken clouds
162,Bucerias,MX,20.75,-105.3333,83.98,80,43,3.29,scattered clouds
163,Kodiak,US,57.79,-152.4072,40.51,60,75,9.22,broken clouds
164,Norman Wells,CA,65.282,-126.8329,17.64,86,90,0.0,overcast clouds
165,Muisne,EC,0.6,-80.0333,75.74,85,92,10.98,overcast clouds
166,Bethanien,NA,-26.502,17.1583,60.55,50,77,4.74,broken clouds
167,Connersville,US,39.6412,-85.1411,45.66,58,0,5.79,clear sky
168,Mocuba,MZ,-16.8392,36.9856,69.85,94,12,3.15,few clouds
169,Marystown,CA,47.1666,-55.1483,43.86,100,100,1.99,overcast clouds
170,Palimbang,PH,6.2106,124.1894,84.24,70,77,2.98,broken clouds
171,Melfort,CA,52.8667,-104.6177,44.73,65,12,8.05,few clouds
172,Nelson Bay,AU,-32.7167,152.15,75.11,57,39,3.0,scattered clouds
173,Saint Pete Beach,US,27.7253,-82.7412,70.18,92,43,7.31,scattered clouds
174,Ilulissat,GL,69.2167,-51.1,24.82,50,68,3.44,broken clouds
175,Leh,IN,34.1667,77.5833,21.87,92,89,1.32,overcast clouds
176,Itoman,JP,26.1247,127.6694,77.4,78,75,21.85,broken clouds
177,Sunnyside,US,46.3237,-120.0087,55.85,54,1,0.0,clear sky
178,Chimbote,PE,-9.0853,-78.5783,64.71,84,46,7.76,scattered clouds
179,Tamiahua,MX,21.2667,-97.45,71.92,74,87,7.78,overcast clouds
180,Batemans Bay,AU,-35.7167,150.1833,76.1,63,79,6.71,broken clouds
181,Asfi,MA,32.2994,-9.2372,60.1,59,0,21.41,clear sky
182,Vydrino,RU,51.485,104.8461,19.45,53,9,6.42,clear sky
183,Zhezkazgan,KZ,47.8043,67.7144,21.38,28,20,5.37,few clouds
184,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,6.91,scattered clouds
185,Charlestown,AU,-32.95,151.6667,74.86,75,100,4.14,overcast clouds
186,Portlethen,GB,57.0547,-2.1307,49.77,94,89,2.3,overcast clouds
187,Fukue,JP,32.6881,128.8419,62.96,77,75,4.61,light rain
188,Ust-Maya,RU,60.4167,134.5333,1.99,95,98,4.97,overcast clouds
189,Tomatlan,MX,19.9333,-105.25,79.88,81,65,3.38,broken clouds
190,Westport,US,41.1415,-73.3579,48.74,64,1,1.99,clear sky
191,Codrington,AU,-38.2667,141.9667,68.02,73,100,15.03,light rain
192,Igrim,RU,63.1906,64.4162,36.19,95,100,8.99,overcast clouds
193,Bintulu,MY,3.1667,113.0333,77.41,94,20,5.01,few clouds
194,Kajaani,FI,64.2273,27.7285,37.45,100,90,11.5,overcast clouds
195,Faanui,PF,-16.4833,-151.75,79.52,75,99,8.25,light rain
196,Avera,US,33.194,-82.5271,49.87,58,100,12.03,overcast clouds
197,Beberibe,BR,-4.1797,-38.1306,80.64,78,91,10.42,overcast clouds
198,Saint George,US,37.1041,-113.5841,76.62,26,1,1.01,clear sky
199,Pangody,RU,65.85,74.4859,7.61,97,42,4.54,scattered clouds
200,Korla,CN,41.7597,86.1469,22.41,47,0,5.44,clear sky
201,Broome,US,42.2506,-75.833,37.99,69,1,1.99,clear sky
202,Chilliwack,CA,49.1747,-121.9443,52.18,73,100,1.14,overcast clouds
203,Pemangkat,ID,1.1667,108.9667,80.51,81,90,2.26,overcast clouds
204,Praia,CV,14.9215,-23.5087,77.54,83,40,13.8,scattered clouds
205,San Cristobal,VE,7.7669,-72.225,73.58,96,43,2.57,scattered clouds
206,Ancud,CL,-41.8697,-73.8203,57.42,76,0,2.33,clear sky
207,Kaitangata,NZ,-46.2817,169.8464,57.92,71,97,11.7,overcast clouds
208,Tagusao,PH,9.1924,117.8141,80.29,82,100,5.66,overcast clouds
209,Lozovik,RS,44.4677,21.1007,47.05,90,100,7.29,overcast clouds
210,Klaksvik,FO,62.2266,-6.589,40.12,68,100,1.88,overcast clouds
211,Gouloure,BF,12.2306,-1.9289,85.73,30,1,6.8,clear sky
212,Dokka,NO,60.84,10.0618,43.07,82,16,5.35,light rain
213,Yar-Sale,RU,66.8333,70.8333,19.02,93,67,9.33,broken clouds
214,Udachnyy,RU,66.4167,112.4,1.58,94,20,12.06,few clouds
215,Baringo,KE,0.4667,35.9667,71.76,51,41,4.16,scattered clouds
216,Maridi,SS,4.9158,29.4742,67.62,77,54,2.15,broken clouds
217,Kalofer,BG,42.6167,24.9833,52.03,56,97,2.42,overcast clouds
218,Mantua,IT,45.1667,10.7833,53.35,85,69,2.59,broken clouds
219,Longhua,CN,23.6137,114.1919,74.66,86,3,0.13,clear sky
220,Verkhovazhye,RU,60.7472,42.0465,48.24,80,100,15.17,overcast clouds
221,Thinadhoo,MV,0.5333,72.9333,81.77,77,92,18.19,overcast clouds
222,Touros,BR,-5.1989,-35.4608,81.5,82,50,10.76,scattered clouds
223,Tabou,CI,4.423,-7.3528,78.51,86,49,6.67,scattered clouds
224,Safford,US,32.834,-109.7076,81.52,17,1,0.0,clear sky
225,Peniche,PT,39.3558,-9.3811,56.62,77,0,13.29,clear sky
226,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,6.91,broken clouds
227,Altamira,BR,-3.2033,-52.2064,83.57,54,99,4.09,overcast clouds
228,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,33.67,69,50,8.05,scattered clouds
229,Bengkulu,ID,-3.8004,102.2655,74.71,90,100,7.47,overcast clouds
230,Sitka,US,57.0531,-135.33,48.09,66,40,9.22,light rain
231,Qaanaaq,GL,77.484,-69.3632,11.05,69,92,11.25,overcast clouds
232,Coahuayana,MX,18.7333,-103.6833,85.48,80,34,3.27,scattered clouds
233,Loding,NO,67.3,14.75,37.54,92,90,5.01,overcast clouds
234,Ariquemes,BR,-9.9133,-63.0408,75.79,87,100,1.39,light rain
235,Makat,KZ,47.6469,53.3463,29.43,46,41,10.67,scattered clouds
236,Bac Lieu,VN,9.285,105.7244,79.86,86,99,7.83,overcast clouds
237,Woodstock,CA,43.1334,-80.7497,40.66,67,4,5.01,clear sky
238,Chama,CH,47.1821,8.4636,42.6,89,72,0.0,broken clouds
239,Basco,PH,20.4487,121.9702,82.09,81,79,17.52,broken clouds
240,Paita,PE,-5.0892,-81.1144,65.12,85,37,15.21,scattered clouds
241,Flinders,AU,-34.5833,150.8552,73.2,77,34,1.99,scattered clouds
242,Neuquen,AR,-38.9516,-68.0591,69.69,23,0,6.91,clear sky
243,Puli,TW,23.9664,120.9695,73.8,63,12,0.63,few clouds
244,Payson,US,40.0444,-111.7321,65.37,50,1,3.44,clear sky
245,Turukhansk,RU,65.8167,87.9833,-3.6,100,100,2.28,overcast clouds
246,Madang,PG,-5.2246,145.7966,82.6,75,76,1.77,broken clouds
247,Selma,US,36.5708,-119.6121,74.03,61,66,3.98,broken clouds
248,Bam,IR,29.106,58.357,59.59,56,19,0.72,few clouds
249,Key West,US,24.5557,-81.7826,78.8,89,40,4.61,scattered clouds
250,Beloha,MG,-25.1667,45.05,65.23,74,0,13.0,clear sky
251,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,56,82,21.85,broken clouds
252,Manta,EC,-0.95,-80.7333,73.18,83,90,12.66,overcast clouds
253,Worcester,US,42.3334,-71.8328,40.05,67,1,4.61,clear sky
254,Katherine,AU,-14.4667,132.2667,86.32,62,84,5.75,broken clouds
255,Priargunsk,RU,50.3691,119.1012,11.19,44,0,9.69,clear sky
256,Bermeo,ES,43.4209,-2.7215,51.8,67,77,10.11,broken clouds
